date,weekday,league,home_away,half,overtime
2016-09-18,周六083,意甲,那不勒斯(-1)VS博洛尼亚,1:0,3:1
2016-09-18,周六061,意甲,拉齐奥(-1)VS佩斯卡拉,0:0,3:0
2016-09-17,周五031,意甲,桑普(+1)VSAC米兰,0:0,0:1
2016-09-13,周一009,意甲,恩波利(-1)VS克罗托内,1:1,2:1
2016-09-12,周日062,意甲,佩斯卡拉(+1)VS国际米兰,0:0,1:2
2016-09-11,周日030,意甲,热那亚(-1)VS佛罗伦萨,取消,取消
2016-09-11,周日029,意甲,亚特兰大(-1)VS都灵,0:0,2:1
2016-09-11,周日028,意甲,罗马(-1)VS桑普,1:2,3:2
2016-09-11,周日027,意甲,AC米兰(-1)VS乌迪内斯,0:0,0:1
2016-09-11,周日026,意甲,切沃(+1)VS拉齐奥,0:0,1:1
2016-09-11,周日015,意甲,博洛尼亚(-1)VS卡利亚里,1:0,2:1
2016-09-11,周六090,意甲,巴勒莫(+1)VS那不勒斯,0:0,0:3
2016-09-11,周六065,意甲,尤文图斯(-1)VS萨索洛,3:1,3:1
2016-08-29,周日059,意甲,佛罗伦萨(-1)VS切沃,1:0,1:0
2016-08-29,周日058,意甲,萨索洛(-1)VS佩斯卡拉,1:0,2:1
2016-08-29,周日057,意甲,乌迪内斯(-1)VS恩波利,1:0,2:0
