date	weekday	league	home_away	half	overtime	goals
2016/9/23	周四023	德乙	圣保利(-1)VS慕1860	1:0	2:2	4
2016/9/21	周三017	德乙	汉诺威96(-1)VS卡斯鲁厄	1:0	1:0	1
2016/9/21	周三016	德乙	维尔茨堡(-1)VS柏林联合	0:0	0:1	1
2016/9/21	周三015	德乙	奥厄(-1)VS比勒费	1:0	1:1	2
2016/9/21	周三014	德乙	凯泽(-1)VS德累斯顿	1:0	3:0	3
2016/9/20	周二004	德乙	斯图加特(-1)VS不伦瑞克	1:0	2:0	2
2016/9/20	周二003	德乙	桑德豪森(+1)VS海登海姆	0:0	0:0	0
2016/9/20	周二002	德乙	杜塞多夫(-1)VS波鸿	2:0	3:0	3
2016/9/20	周二001	德乙	纽伦堡(-1)VS菲尔特	0:1	1:2	3
2016/9/18	周日022	德乙	卡斯鲁厄(-1)VS圣保利	0:1	1:1	2
2016/9/18	周日021	德乙	德累斯顿(-1)VS奥厄	0:1	0:3	3
2016/9/18	周日020	德乙	比勒费(+1)VS汉诺威96	2:1	3:3	6
2016/9/17	周六015	德乙	不伦瑞克(-1)VS桑德豪森	0:0	2:1	3
2016/9/17	周六014	德乙	凯泽(+1)VS斯图加特	0:0	0:1	1
2016/9/17	周六013	德乙	海登海姆(-1)VS杜塞多夫	0:0	2:0	2
2016/9/17	周五004	德乙	波鸿(-1)VS纽伦堡	3:3	5:4	9
2016/9/17	周五003	德乙	慕1860(-1)VS柏林联合	1:2	1:2	3
2016/9/17	周五002	德乙	菲尔特(-1)VS维尔茨堡	0:1	0:3	3
2016/9/13	周一007	德乙	纽伦堡(-1)VS慕1860	1:1	1:2	3
2016/9/11	周日021	德乙	桑德豪森(+1)VS凯泽	1:0	2:0	2
2016/9/11	周日020	德乙	汉诺威96(-1)VS德累斯顿	0:1	0:2	2
2016/9/11	周日019	德乙	杜塞多夫(-1)VS菲尔特	0:1	1:1	2
2016/9/10	周六015	德乙	圣保利(-1)VS比勒费	1:0	2:1	3
2016/9/10	周六014	德乙	柏林联合(-1)VS卡斯鲁厄	2:0	4:0	4
2016/9/10	周五003	德乙	斯图加特(-1)VS海登海姆	0:0	1:2	3
2016/9/10	周五002	德乙	维尔茨堡(-1)VS波鸿	0:0	2:0	2
2016/9/10	周五001	德乙	奥厄(+1)VS不伦瑞克	0:1	0:2	2
2016/8/30	周一001	德乙	凯泽(-1)VS杜塞多夫	0:0	0:0	0
2016/8/28	周日010	德乙	不伦瑞克(-1)VS纽伦堡	2:1	6:1	7
2016/8/28	周日009	德乙	德累斯顿(-1)VS圣保利	1:0	1:0	1
2016/8/28	周日008	德乙	比勒费(-1)VS柏林联合	2:1	4:4	8
2016/8/27	周六018	德乙	菲尔特(-1)VS奥厄	1:0	3:2	5
2016/8/27	周六017	德乙	卡斯鲁厄(-1)VS慕1860	0:0	0:0	0
2016/8/27	周五004	德乙	波鸿(-1)VS汉诺威96	0:0	1:1	2
2016/8/27	周五003	德乙	桑德豪森(+1)VS斯图加特	0:1	1:2	3
2016/8/27	周五002	德乙	海登海姆(-1)VS维尔茨堡	0:1	1:2	3
2016/8/16	周一006	德乙	柏林联合(-1)VS德累斯顿	0:1	2:2	4
2016/8/14	周日025	德乙	慕1860(-1)VS比勒费	0:0	1:0	1
2016/8/14	周日024	德乙	维尔茨堡(-1)VS凯泽	1:1	1:1	2
2016/8/14	周日016	德乙	汉诺威96(-1)VS菲尔特	1:0	3:1	4
2016/8/13	周六020	德乙	圣保利(-1)VS不伦瑞克	0:1	0:2	2
2016/8/13	周六012	德乙	卡斯鲁厄(-1)VS波鸿	0:1	1:1	2
2016/8/13	周五029	德乙	杜塞多夫(+1)VS斯图加特	0:0	1:0	1
2016/8/13	周五004	德乙	奥厄(-1)VS桑德豪森	2:0	2:0	2
2016/8/13	周五003	德乙	纽伦堡(-1)VS海登海姆	1:0	1:1	2
2016/8/9	周一007	德乙	斯图加特(-1)VS圣保利	0:1	2:1	3
2016/8/7	周日026	德乙	不伦瑞克(-1)VS维尔茨堡	1:0	2:1	3
2016/8/7	周日025	德乙	比勒费(-1)VS卡斯鲁厄	0:0	0:0	0
2016/8/7	周日024	德乙	海登海姆(-1)VS奥厄	1:0	1:0	1
2016/8/7	周日016	德乙	菲尔特(-1)VS慕1860	1:0	1:0	1
2016/8/6	周六015	德乙	桑德豪森(-1)VS杜塞多夫	2:1	2:2	4
2016/8/6	周六014	德乙	德累斯顿(-1)VS纽伦堡	0:1	1:1	2
2016/8/6	周六010	德乙	波鸿(-1)VS柏林联合	0:0	2:1	3
2016/8/6	周五024	德乙	凯泽(-1)VS汉诺威96	0:1	0:4	4
2016/5/25	周二007	德乙	杜伊斯堡(-1)VS维尔茨堡	1:1	1:2	3
2016/5/21	周五004	德乙	维尔茨堡(-1)VS杜伊斯堡	1:0	2:0	2
2016/5/15	周日032	德乙	菲尔特(-1)VS桑德豪森	2:1	3:1	4
2016/5/15	周日031	德乙	帕德博恩(-1)VS纽伦堡	0:0	0:1	1
2016/5/15	周日030	德乙	杜伊斯堡(-1)VS莱红牛	0:0	1:0	1
2016/5/15	周日029	德乙	卡斯鲁厄(-1)VS比勒费	0:0	1:1	2
2016/5/15	周日028	德乙	FSV法兰(-1)VS慕1860	0:0	2:1	3
2016/5/15	周日027	德乙	圣保利(-1)VS凯泽	2:1	5:2	7
2016/5/15	周日026	德乙	不伦瑞克(-1)VS杜塞多夫	0:0	0:2	2
2016/5/15	周日025	德乙	柏林联合(+1)VS弗赖堡	0:0	2:1	3
